Rank,Company Name,Number of Employees,"Change in 
Rank",Industry,Company Description,"Revenues
($millions)","Revenue 
Change","Profits
($millions)","Profit 
Change","Assets
($millions)","Market Value 
As of 3/31/21 ($m)"
23,Anthem,"83,400",6,Insurance Company,"Anthem, Inc., Is A Provider Of Health Insurance In The United States. It Is The Largest For-profit Managed Health Care Company In The Blue Cross Blue Shield Association. As Of 2018, The Company Had Approximately 40 Million Members. Anthem Is Ranked 29th On The Fortune 500. Prior To 2014, It Was Named Wellpoint, Inc.","$121,867",16.90%,"$4,572.00",-4.90%,"$86,615","$87,909"
24,Centene,"71,300",18,Insurance Company,"Centene Corporation Is A Large Publicly Traded Company And A Multi-line Managed Care Enterprise That Serves As A Major Intermediary For Both Government-sponsored And Privately Insured Health Care Programs. It Is A Healthcare Insurer That Focuses On Managed Care For Uninsured, Underinsured, And Low-income Individuals. ","$111,115",48.90%,"$1,808.00",36.90%,"$68,719","$37,170"
25,Fannie Mae,"7,700",-1,Mortgage Loan Company,"The Federal National Mortgage Association, Commonly Known As Fannie Mae, Is A United States Government-sponsored Enterprise And, Since 1968, A Publicly Traded Company.","$106,437",-11.50%,"$11,805.00",-16.60%,"$3,985,749","$2,397"
26,Comcast,"168,000",2,Telecommunications Company,"Comcast Corporation Is An American Telecommunications Conglomerate Headquartered In Philadelphia, Pennsylvania.","$103,564",-4.90%,"$10,534.00",-19.30%,"$273,869","$247,859"
27,Chevron,"47,736",-12,Oil Industry Company,"Chevron Corporation Is An American Multinational Energy Corporation. One Of The Successor Companies Of Standard Oil, It Is Headquartered In San Ramon, California, And Active In More Than 180 Countries.","$94,692",-35.40%,"-$5,543.00",-289.60%,"$239,790","$201,865"
28,Dell Technologies,"158,000",6,Computer Software Company,"Dell Technologies Inc. is an American multinational technology company headquartered in Round Rock, Texas.","$94,224",2.20%,"$3,250.00",-29.60%,"$123,415","$67,229"
29,Bank of America,"212,505",-4,Financial Services Company,"The Bank Of America Corporation Is An American Multinational Investment Bank And Financial Services Holding Company Headquartered In Charlotte, North Carolina, With Central Hubs In New York City, Dallas, Toronto, London And Hong Kong.","$93,753",-17.50%,"$17,894.00",-34.80%,"$2,819,627","$333,788"
30,Target,"409,000",7,Retail Company,"Target Corporation Is An American Retail Corporation. It Is The 8th-largest Retailer In The United States, And Is A Component Of The S&p 500 Index. ","$93,561",19.80%,"$4,368.00",33.10%,"$51,248","$98,761"
31,Lowe's,"280,000",13,Retail Company,"Lowe's Companies, Inc., Doing Business As Lowe's, Is An American Retail Company Specializing In Home Improvement. Headquartered In Mooresville, North Carolina, The Company Operates A Chain Of Retail Stores In The United States, And Canada.","$89,597",24.20%,"$5,835.00",36.30%,"$46,735","$136,408"
32,Marathon Petroleum,"57,900",-10,Petroleum Refining Company,"Marathon Petroleum Corporation Is An American Petroleum Refining, Marketing, And Transportation Company Headquartered In Findlay, Ohio. The Company Was A Wholly Owned Subsidiary Of Marathon Oil Until A Corporate Spin-off In 2011.","$88,952",-28.70%,"-$9,826.00",-472.60%,"$85,158","$34,874"
33,Citigroup,"210,153",-2,Investment Banking Company,Citigroup Inc. Or Citi Is An American Multinational Investment Bank And Financial Services Corporation Headquartered In New York City. The Company Was Formed By The Merger Of Banking Giant Citicorp And Financial Conglomerate Travelers Group In 1998; Travelers Was Subsequently Spun Off From The Company In 2002.,"$88,839",-14.10%,"$11,047.00",-43.10%,"$2,260,090","$151,806"
34,Facebook,"58,604",12,"Social Networking Service Company
","Facebook Builds Technologies That Give People The Power To Connect With Friends And Family, Find Communities And Grow Businesses.","$85,965",21.60%,"$29,146.00",57.70%,"$159,316","$838,724"
35,UPS,"408,255",8,Shipping Company,United Parcel Service is an American multinational shipping & receiving and supply chain management company founded in 1907. ,"$84,628",14.20%,"$1,343.00",-69.80%,"$62,408","$147,792"
36,Johnson & Johnson,"134,500",-1,Medical Device Company,"Johnson & Johnson Is An American Multinational Corporation Founded In 1886 That Develops Medical Devices, Pharmaceutical, And Consumer Packaged Goods","$82,584",0.60%,"$14,714.00",-2.70%,"$174,894","$432,685"
37,Wells Fargo,"268,531",-7,Financial Services Company,"Wells Fargo & Company Is An American Multinational Financial Services Company With Corporate Headquarters In San Francisco, California, Operational Headquarters In Manhattan, And Managerial Offices Throughout The United States And Overseas.","$80,303",-22.70%,"$3,301.00",-83.10%,"$1,955,163","$161,521"
38,General Electric,"184,000",-5,Multinational Conglomerate Company,"General Electric Company Is An American Multinational Conglomerate Incorporated In New York City And Headquartered In Boston. As Of 2018, The Company Operates Through The Following Segments: Aviation, Healthcare, Power, Renewable Energy, Digital Industry, Additive Manufacturing And Venture Capital And Finance.","$79,619",-16.40%,"$5,704.00",-,"$253,452","$115,343"
39,State Farm Insurance,"57,582",-3,Insurance Company,"State Farm Is A Large Group Of Insurance Companies Throughout The United States With Corporate Headquarters In Bloomington, Illinois.","$78,898",-0.60%,"$3,738.90",-33.10%,"$299,105",-
40,Intel,"110,600",5,Semiconductor Company,"Intel Corporation Is An American Multinational Corporation And Technology Company Headquartered In Santa Clara, California, In Silicon Valley. ","$77,867",8.20%,"$20,899.00",-0.70%,"$153,091","$260,630"
41,Humana,"48,700",11,Managed Health Care,"Humana Inc. Is A For-profit American Health Insurance Company Based In Louisville, Kentucky.","$77,155",18.90%,"$3,367.00",24.40%,"$34,969","$54,088"
42,IBM,"364,800",-4,Management Consulting Company,"International Business Machines Corporation Is An American Multinational Technology And Consulting Company Headquartered In Armonk, New York, With More Than 350,000 Employees Serving Clients In 170 Countries. ","$73,620",-4.60%,"$5,590.00",-40.70%,"$155,971","$119,080"
43,Procter & Gamble,"99,000",7,Corporation,"It Is An American Multinational Consumer Goods Corporation Headquartered In Cincinnati, Ohio.","$70,950",4.80%,"$13,027.00",234.30%,"$120,700","$333,493"
44,PepsiCo,"291,000",7,Food Company,"Pepsico, Inc. Is An American Multinational Food, Snack And Beverage Corporation Headquartered In Harrison, New York, In The Hamlet Of Purchase","$70,372",4.80%,"$7,120.00",-2.70%,"$92,918","$195,208"
45,FedEx,"418,000",2,Logistics Company,"Fedex Corporation Is An American Multinational Delivery Services Company Headquartered In Memphis, Tennessee.","$69,217",-0.70%,"$1,286.00",138.10%,"$73,537","$75,368"
46,MetLife,"46,500",2,Life Insurance Company,"Metlife, Inc. Is The Holding Corporation For The Metropolitan Life Insurance Company, Better Known As Metlife, And Its Affiliates.","$67,842",-2.60%,"$5,407.00",-8.30%,"$795,146","$53,763"
47,Freddie Mac,"6,922",-6,Mortgage Loan Company,"The Federal Home Loan Mortgage Corporation, Known As Freddie Mac, Is A Public Government-sponsored Enterprise, Headquartered In Tysons Corner, Virginia. Freddie Mac Is Ranked No. 41 On The 2020 Fortune 500 List Of The Largest United States Corporations By Total Revenue, And Has $2.063 Trillion Assets Under Management.","$66,228",-11.80%,"$7,326.00",1.60%,"$2,627,415","$1,333"
48,Phillips 66,"14,300",-21,Energy Company,"The Phillips 66 Company Is An American Multinational Energy Company Headquartered In Westchase, Houston, Texas. It Debuted As An Independent Energy Company When Conocophillips Executed A Spin-off Of Its Downstream And Midstream Assets. ","$65,494",-40.20%,"-$3,975.00",-229.20%,"$54,721","$35,704"
49,Lockheed Martin,"114,000",8,Aerospace And Defense Company,"Lockheed Martin Corporation Is An American Aerospace, Defense, Arms, Security, And Advanced Technologies Company With Worldwide Interests.","$65,398",9.30%,"$6,833.00",9.70%,"$50,710","$102,984"
50,Walt Disney,"203,000",-1,Entertainment Company,The Walt Disney Company Is To Be One Of The World's Leading Producers And Providers Of Entertainment And Information.,"$65,388",-6.00%,"-$2,864.00",-125.90%,"$201,549","$334,953"
51,Archer Daniels Midland,"38,332",3,Food Processing Company,"The Archer-daniels-midland Company, Commonly Known As Adm, Is An American Multinational Food Processing And Commodities Trading Corporation Founded In 1902 And Headquartered In Chicago, Illinois.","$64,355",-0.50%,"$1,772.00",28.50%,"$49,719","$31,835"
52,Albertsons,"270,000",3,Grocery Store Company,"Albertsons Companies, Inc. Is An American Grocery Company Founded And Headquartered In Boise, Idaho.","$62,455",3.20%,$466.40,255.80%,"$24,735","$8,878"
53,Valero Energy,"9,964",-21,Oil And Gas,"Valero Energy Corporation Is A Fortune 500 International Manufacturer And Marketer Of Transportation Fuels, Other Petrochemical Products, And Power. It Is Headquartered In San Antonio, Texas, United States.","$60,115",-41.50%,"-$1,421.00",-158.70%,"$51,774","$29,267"
54,Boeing,"141,000",-14,Aerospace Company,"The Boeing Company Is An American Multinational Corporation That Designs, Manufactures, And Sells Airplanes, Rotorcraft, Rockets, Satellites, Telecommunications Equipment, And Missiles Worldwide. The Company Also Provides Leasing And Product Support Services.","$58,158",-24.00%,"-$11,873.00",-,"$152,136","$148,665"
55,Prudential Financial,"41,671",-2,Insurance Company,"Prudential Financial, Inc. Provides Financial Services Throughout The United States And Several Locations Worldwide","$57,033",-12.00%,-$374.00,-108.90%,"$940,722","$36,022"
56,HP,"53,000",2,Hardware Company,"Hp is An American Multinational Information Technology Company Headquartered In Palo Alto, California.","$56,639",-3.60%,"$2,844.00",-9.80%,"$34,681","$39,580"
57,Raytheon Technologies,"181,000",-18,Aerospace And Defense Company,"Raytheon Technologies Corporation Is An American Multinational Conglomerate Headquartered In Waltham, Massachusetts. The Company Is One Of The Largest Aerospace And Defense Manufacturers In The World By Revenue And Market Capitalization.","$56,587",-26.60%,"-$3,519.00",-163.60%,"$162,153","$117,144"
58,StoneX Group,"2,950",42,Financial Services,Stonex Group Inc. Is A Financial Services Organization.,"$54,140",64.60%,$169.60,99.30%,"$13,475","$1,284"
59,Goldman Sachs Group,"40,500",1,Investment Banking Company,"The Goldman Sachs Group, Inc., Is An American Multinational Investment Bank And Financial Services Company Headquartered In New York City. ","$53,498",-0.80%,"$9,459.00",11.70%,"$1,163,028","$116,903"
60,Sysco,"57,000",-4,Wholesale Company,"Sysco Corporation Is An American Multinational Corporation Involved In Marketing And Distributing Food Products, Smallwares, Kitchen Equipment And Tabletop Items To Restaurants, Healthcare And Educational","$52,893",-12.00%,$215.50,-87.10%,"$22,628","$40,190"
61,Morgan Stanley,"68,097",-,Investment Banking Company,Morgan Stanley Is An American Multinational Investment Bank And Financial Services Company.,"$52,047",-3.30%,"$10,996.00",21.60%,"$1,115,862","$146,162"
62,HCA Healthcare,"235,000",3,Health Care Company,Hca Healthcare Is An American For-profit Operator Of Health Care Facilities,"$51,533",0.40%,"$3,754.00",7.10%,"$47,490","$63,459"
63,Cisco Systems,"77,500",-,Networking Hardware Company,"Cisco Develops, Manufactures And Sells Networking Hardware, Software, Telecommunications Equipment And Other High-technology Services And Products. ","$49,301",-5.00%,"$11,214.00",-3.50%,"$94,853","$218,309"
64,Charter Communications,"96,100",7,Telecommunications Company,American Telecommunications And Mass Media Company With Services Branded As Charter Spectrum.,"$48,097",5.10%,"$3,222.00",93.20%,"$144,206","$128,966"
65,Merck,"73,500",4,Pharmaceutical Company,It's A Multinational Pharmaceutical Company And One Of The Largest Pharmaceutical Companies In The World.,"$47,994",2.50%,"$7,067.00",-28.20%,"$91,588","$195,062"
66,Best Buy,"81,600",9,Consumer Electronics Company," It Is An American Multinational Consumer Electronics Retailer Headquartered In Richfield, Minnesota.","$47,262",8.30%,"$1,798.00",16.70%,"$19,067","$28,708"
67,New York Life Insurance,"11,506",6,Insurance Company,New York Life Insurance Company Is The Third-largest Life Insurance Company In The United States.,"$46,712",5.90%,-$822.30,-181.90%,"$359,313",-
68,AbbVie,"47,000",31,Pharmaceuticals,Abbvie Is An American Publicly Traded Biopharmaceutical Company Founded In 2013.,"$45,804",37.70%,"$4,616.00",-41.40%,"$150,565","$190,989"
69,Publix Super Markets,"227,000",18,Supermarket Company,Publix Super Markets Is The Largest And Fastest-growing Employee-owned Supermarket Chain In The United States.,"$45,204",17.50%,"$3,971.80",32.20%,"$28,094",-
70,Allstate,"42,010",2,Insurance Company,"The Allstate Corporation Is An American Insurance Company,","$44,791",0.30%,"$5,576.00",15.00%,"$125,987","$34,800"
71,Liberty Mutual Insurance Group,"45,000",6,Oil And Gas,"Liberty Is An Innovative Service Company Providing Stimulation Services To Optimize Well Production. They Focus On Offering Safe, Efficient And High Quality Hydraulic Fracturing And Engineering Services, Aiming To Become The Vendor Of Choice.  ","$43,796",1.30%,$758.00,-27.40%,"$145,377",-
72,AIG,"45,000",-6,Finance And Insurance Company,"Aig, Is An American Multinational Finance And Insurance Corporation With Operations In More Than 80 Countries And Jurisdictions. ","$43,736",-12.10%,"-$5,944.00",-277.50%,"$586,481","$39,849"
73,Tyson Foods,"139,000",6,Food Production,"The Company Is The World's Second Largest Processor And Marketer Of Chicken, Beef, And Pork.","$43,185",1.80%,"$2,061.00",4.10%,"$34,456","$27,100"
74,Progressive,"43,326",12,Insurance Company,"The Progressive Corporation Is An American Insurance Company, One Of The Largest Providers Of Car Insurance In The United States.","$42,658",9.30%,"$5,704.60",43.70%,"$64,098","$55,947"
75,Bristol-Myers Squibb,"30,250",40,Pharmaceutical Company,"The Company Develops, Licenses, Manufactures, Markets, And Sells Pharmaceutical And Nutritional Products. Bristol-myers Squibb Focuses On Products And Experimental Therapies Address Cancer, Heart Disease, Hiv And Aids, Diabetes, Rheumatoid Arthritis, Hepatitis, Organ Transplant Rejection, And Psychiatric Disorders.","$42,518",62.60%,"-$9,015.00",-362.10%,"$118,481","$141,028"
76,Nationwide,"25,391",-2,Insurance,"Nationwide Mutual Insurance Company Operates As An Insurance And Financial Services Provider. The Company Offers Property And Casualty, Life Insurance, Banking, Retirement, And Investment Services. Nationwide Mutual Insurance Serves Customers Worldwide.","$41,930",-4.70%,-$138.40,-116.70%,"$256,589",-
77,Pfizer,"78,500",-13,Pharmaceutical Company,"One Of The World's Largest Pharmaceutical Companies,","$41,908",-19.00%,"$9,616.00",-40.90%,"$154,229","$202,097"
78,Caterpillar,"97,300",-16,Construction Machinery And Equipment Company,"Caterpillar Inc. Is An American Fortune 100 Corporation Which Designs, Develops, Engineers, Manufactures, Markets, And Sells Machinery, Engines, Financial Products, And Insurance To Customers Via A Worldwide Dealer Network.","$41,748",-22.40%,"$2,998.00",-50.80%,"$78,324","$126,440"
79,TIAA,"14,953",2,Insurance Company,"The Teachers Insurance and Annuity Association of America-College Retirement Equities Fund, is a Fortune 100 financial services organization that is the leading provider of financial services in the academic, research, medical, cultural and governmental fields.","$41,619",2.90%,$558.10,-77.30%,"$654,252",-
80,Oracle,"135,000",2,Computer Software Company,Oracle Corporation Is An American Multinational Computer Technology Corporation.,"$39,068",-1.10%,"$10,135.00",-8.60%,"$115,438","$202,338"
81,Energy Transfer,"11,421",-22,Oil & Energy Company,Energy Transfer Partners Is A Company Engaged In Natural Gas And Propane Pipeline Transport.,"$38,954",-28.10%,-$648.00,-118.00%,"$95,144","$20,755"
82,Dow,"35,700",-4,Market Index,"Dow, Is A Stock Market Index That Measures The Stock Performance Of 30 Large Companies Listed On Stock Exchanges In The United States.","$38,542",-10.30%,"$1,225.00",-,"$61,470","$47,650"
83,American Express,"63,700",-16,Financial Services Company,The American Express Company Is A Multinational Financial Services Provider.,"$38,185",-18.80%,"$3,135.00",-53.60%,"$191,367","$113,636"
84,General Dynamics,"100,700",-1,Aerospace And Defense Company,General Dynamics Corporation Is An American Aerospace And Defense Corporation.,"$37,925",-3.60%,"$3,167.00",-9.10%,"$51,308","$51,482"
85,Nike,"75,400",-,Footwear Manufacturing Company,"Nike, Inc. Is An American Multinational Corporation That Is Engaged In The Design, Development, Manufacturing, And Worldwide Marketing And Sales Of Footwear, Apparel, Equipment, Accessories, And Services","$37,403",-4.40%,"$2,539.00",-37.00%,"$31,342","$209,500"
86,Northrop Grumman,"97,000",10,Aerospace And Defense Company,Northrop Grumman Corporation Is An American Global Aerospace And Defense Technology Company.,"$36,799",8.70%,"$3,189.00",41.90%,"$44,469","$53,957"
87,USAA,"35,935",7,Financial Services Company,"Usaa Is A Private Fortune 150 Financial Services Company That Provides Banking, Insurance, And Investment To The Military Community.","$36,296",1.90%,"$3,906.90",-2.50%,"$200,348",-
88,Deere,"69,634",-4,Manufacturing Company,"Its An American Corporation That Manufactures Agricultural, Construction, And Forestry Machinery, Diesel Engines, Drivetrains Used In Heavy Equipment, And Lawn Care Equipment.","$35,540",-9.50%,"$2,751.00",-15.40%,"$75,091","$117,270"
89,Abbott Laboratories,"109,000",15,Medical Device Company,Abbott Laboratories Is An American Multinational Medical Devices And Health Care Company.,"$34,608",8.50%,"$4,495.00",21.90%,"$72,548","$212,300"
90,Northwestern Mutual,"6,641",12,Insurance And Investments,Northwestern Mutual Is An American Financial Services Mutual Organization Based In Milwaukee.,"$33,782",4.60%,$425.00,-66.50%,"$308,767",-
91,Dollar General,"158,000",21,Variety Store Company,Dollar General Corporation Is An American Chain Of Variety Stores,"$33,747",21.60%,"$2,655.10",55.00%,"$25,863","$48,480"
92,Exelon,"32,340",3,Nuclear Electric Power Generation Company,Exelon Is One Of The Largest Competitive U.s. Power Generators.,"$33,039",-4.10%,"$1,963.00",-33.10%,"$129,317","$42,724"
93,Coca-Cola,"80,300",-5,Soft Drink,"Coca-cola, Or Coke, Is A Carbonated Soft Drink Manufactured By The Coca-cola Company.","$33,014",-11.40%,"$7,747.00",-13.20%,"$87,296","$227,144"
94,Honeywell International,"103,000",-2,Multinational Conglomerate Company,Honeywell International Inc. Is A Worldwide Technology And Manufacturing Company.,"$32,637",-11.10%,"$4,779.00",-22.20%,"$64,586","$150,972"
95,Thermo Fisher Scientific,"84,362",24,Chemicals Company,"Offers customers convenient access to a complete portfolio of laboratory equipment, chemicals, supplies and services used in scientific research, healthcare, safety, and education markets.","$32,218",26.10%,"$6,375.00",72.50%,"$69,052","$179,719"
96,3M,"94,987",7,Multinational Conglomerate Company,"The 3m Company Is An American Multinational Conglomerate Corporation Operating In The Fields Of Industry, Worker Safety, Us Health Care, And Consumer Goods.","$32,184",0.10%,"$5,384.00",17.80%,"$47,344","$111,642"
97,TJX,"320,000",-17,Department Store Company,"It Is The Leading Off-price Retailer Of Apparel And Home Fashions In The U.s. And Worldwide,","$32,137",-23.00%,$90.50,-97.20%,"$30,814","$79,775"
98,Travelers,"30,294",8,Insurance Company,"Travelers Provides Insurance Coverage To Protect The Things That Are Important To You – Your Home, Your Car, Your Valuables And Your Business.","$31,981",1.30%,"$2,697.00",2.90%,"$116,764","$37,933"
99,Capital One Financial,"51,985",-2,Bank Holding Company,"It's An American Bank Holding Company Specializing In Credit Cards, Auto Loans, Banking, And Savings Accounts.","$31,643",-6.30%,"$2,714.00",-51.10%,"$421,602","$58,097"
100,Tesla,"70,757",24,Engineering Services Company,"Tesla, Inc. (formerly Tesla Motors, Inc.) Is An American Electric Vehicle And Clean Energy Company Based In Palo Alto, California.","$31,536",28.30%,$721.00,-,"$52,148","$641,115"
101,Philip Morris International,"71,000",6,Cigarette Company,American Multinational Cigarette And Tobacco Manufacturing Company.,"$28,694",-3.70%,"$8,056.00",12.10%,"$44,815","$138,302"
102,Arrow Electronics,"19,600",8,Information Technology & Services,The Company Specializes In Distribution And Value Added Services Relating To Electronic Components And Computer Products.,"$28,673",-0.80%,$584.40,-,"$17,054","$8,268"
103,CHS,"10,493",2,Food Company,"Chs Is A Global Agribusiness Owned By Farmers, Ranchers And Cooperatives Across The United States. ","$28,406",-11.00%,$422.40,-49.10%,"$15,994",-
104,Jabil,"240,000",17,Electronics Manufacturing Services,"The Company Offers Digital Prototyping, Printed Electronics, Device Integration, Circuit Designing, And Volume Board Assembly Services. Jabil Serves Automotive, Consumer Health, Data Centers, Energy, And Defense And Aerospace Sectors Worldwide.","$27,266",7.80%,$53.90,-81.20%,"$14,397","$7,833"
105,Enterprise Products Partners,"7,130",-4,Oil And Gas,Its An American Midstream Natural Gas And Crude Oil Pipeline Company With Headquarters In Houston.,"$27,200",-17.00%,"$3,775.60",-17.80%,"$64,107","$48,039"
106,Hewlett Packard Enterprise,"59,400",3,Information Technology Solution,"The Company Offers Enterprise Security, Analytics And Data Management, Applications Development And Testing, Data Center Care, Cloud Consulting, And Business Process Services. Hewlett Packard Enterprise Serves Customers Worldwide.","$26,982",-7.40%,-$322.00,-130.70%,"$54,015","$20,480"
107,United Natural Foods,"28,300",26,Wholesale Company,"United Natural Foods, Inc. Distributes Natural Foods And Related Products. The Company Offers Natural Products Consisting Of Groceries And General Merchandise, Nutritional Supplements, Bulk And Foodservice Products, Personal Care Items, Perishables, And Frozen Foods.","$26,743",13.90%,-$274.10,-,"$7,587","$1,854"
108,Mondelez International,"79,000",9,Food Processing Company,"Mondelēz, Is An American Multinational Confectionery, Food, Holding And Beverage And Snack Food.","$26,581",2.80%,"$3,555.00",-8.10%,"$67,810","$82,651"
109,ViacomCBS,"24,225",2,Mass Media Company,Global Media And Entertainment Company,"$26,186",-5.80%,"$2,422.00",-26.80%,"$52,663","$28,853"
